plot,year,species,LAI,destructive_dhp_LAI,max_height,wood_inc,no_leaf_inclination,projection_coef_05,no_clump
tree1,2018,spruce,2.56518101,1.185069096,2.49,2.379550192,6.476538747,2.786577745,1.747244962
tree2,2018,spruce,2.922499825,3.649761996,3.62,3.000252872,8.626464482,3.698890329,2.452811082
tree3,2018,spruce,6.816339921,7.384632625,6.5,5.742288495,13.28612971,5.803548275,4.595888373
tree4,2018,spruce,6.928480194,6.376504481,8.93,7.527246903,18.70648878,8.194127078,6.722255405
tree1,2018,larch,1.344571672,0.754526733,2.13,1.280464444,3.795232526,1.644801714,1.070071119
tree2,2018,larch,2.072607008,0.970074992,2.84,2.097510515,5.684983343,2.393597544,2.187904878
tree3,2018,larch,4.856589253,3.443184867,5.56,3.976271345,10.51551543,4.45779366,6.258515462
tree4,2018,larch,6.980555954,8.577961514,8.95,8.12955805,18.07949313,7.926372512,6.736374892
plot21,2022,all,4.55,5.26,7.73,5.614067736,15.4851787,6.516986654,5.193717905
plot7,2022,all,5.00,4.87,6.72,5.926491867,13.5003303,5.70809916,4.561914966
